,Flight No,Date,Time,Booster_Version,Launch_Site,Payload,Payload_Mass,Orbit,Customer,Launch_Outcome,Booster_landing
0,1,4 June 2010,18:45,F9 v1.0 B0003.1,CCAFS SLC-40,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,Failure
1,2,8 December 2010,15:43,F9 v1.0 B0004.1,CCAFS SLC-40,Dragon demo flight C1,,LEO (ISS),NASA (COTS) NRO,Success,Failure
2,3,22 May 2012,07:44,F9 v1.0 B0005.1,CCAFS SLC-40,Dragon demo flight C2+,525 ,LEO (ISS),NASA (COTS),Success,No attempt
3,4,8 October 2012,00:35,F9 v1.0 B0006.1,CCAFS SLC-40,SpaceX CRS-1,"4,700 ",LEO (ISS),NASA (CRS),Success,No attempt
4,4,8 October 2012,00:35,F9 v1.0 B0006.1,CCAFS SLC-40,Orbcomm-OG2,172 ,LEO,Orbcomm,Partial failure,No attempt
5,5,1 March 2013,15:10,F9 v1.0 B0007.1,CCAFS SLC-40,SpaceX CRS-2,"4,877 ",LEO (ISS),NASA (CRS),Success,No attempt
6,6,29 September 2013,16:00,F9 v1.1 B1003,VAFB SLC-4E,CASSIOPE,500 ,Polar orbit LEO,MDA,Success,Uncontrolled(ocean)
7,7,3 December 2013,22:41,F9 v1.1 B1004,CCAFS SLC-40,SES-8,"3,170 ",GTO,SES,Success,No attempt
8,8,6 January 2014,22:06,F9 v1.1,CCAFS SLC-40,Thaicom 6,"3,325 ",GTO,Thaicom,Success,No attempt
9,9,18 April 2014,19:25,F9 v1.1,Cape Canaveral LC-40,SpaceX CRS-3,"2,296 ",LEO (ISS),NASA (CRS),Success,Controlled(ocean) 
10,10,14 July 2014,15:15,F9 v1.1,Cape Canaveral LC-40,Orbcomm-OG2-1,"1,316 ",LEO,Orbcomm,Success,Controlled(ocean)
11,11,5 August 2014,08:00,F9 v1.1,Cape Canaveral LC-40,AsiaSat 8,"4,535 ",GTO,AsiaSat,Success,No attempt
12,12,7 September 2014,05:00,F9 v1.1 B1011,Cape Canaveral LC-40,AsiaSat 6,"4,428 ",GTO,AsiaSat,Success,No attempt
13,13,21 September 2014,05:52,F9 v1.1 B1010,Cape Canaveral LC-40,SpaceX CRS-4,"2,216 ",LEO (ISS),NASA (CRS),Success,Uncontrolled(ocean)
14,14,10 January 2015,09:47,F9 v1.1 B1012,Cape Canaveral LC-40,SpaceX CRS-5,"2,395 ",LEO (ISS),NASA (CRS),Success,Failure (drone ship)
15,15,11 February 2015,23:03,F9 v1.1 B1013,Cape Canaveral LC-40,DSCOVR,570 ,HEO(Sun–Earth L1 insertion),USAF NASA NOAA,Success,Controlled(ocean)
16,16,2 March 2015,03:50,F9 v1.1 B1014,Cape Canaveral LC-40,ABS-3A Eutelsat 115 West B,"4,159 ",GTO,ABS Eutelsat,Success,No attempt
17,17,14 April 2015,20:10,F9 v1.1 B1015,Cape Canaveral LC-40,SpaceX CRS-6,"1,898 ",LEO (ISS),NASA (CRS),Success,Failure
18,18,27 April 2015,23:03,F9 v1.1 B1016,Cape Canaveral LC-40,TürkmenÄlem 52°E / MonacoSAT,"4,707 ",GTO,Turkmenistan NationalSpace Agency,Success,No attempt
19,19,28 June 2015,14:21,F9 v1.1 B1018,Cape Canaveral LC-40,SpaceX CRS-7,"1,952 ",LEO (ISS),NASA (CRS),Failure,Precluded
20,20,22 December 2015,01:29,F9 FT B1019.1,Cape Canaveral LC-40,Orbcomm-OG2-2,"2,034 ",LEO,Orbcomm,Success,Success
21,21,17 January 2016,18:42,F9 v1.1 B1017,VAFB SLC-4E,Jason-3,553 ,LEO,NASA (LSP) NOAA CNES,Success,Failure(drone ship)
22,22,4 March 2016,23:35,F9 FT B1020.1,Cape Canaveral LC-40,SES-9,"5,271 ",GTO,SES,Success,Failure(drone ship)
23,23,8 April 2016,20:43,F9 FT B1021.1,Cape Canaveral LC-40,SpaceX CRS-8,"3,136 ",LEO (ISS),NASA (CRS),Success,Success
24,24,6 May 2016,05:21,F9 FT B1022.1,Cape Canaveral LC-40,JCSAT-14,"4,696 ",GTO,SKY Perfect JSAT Group,Success,Success(drone ship)
25,25,27 May 2016,21:39,F9 FT B1023.1,Cape Canaveral LC-40,Thaicom 8,"3,100 ",GTO,Thaicom,Success,Success
26,26,15 June 2016,14:29,F9 FT B1024.1,Cape Canaveral LC-40,ABS-2A Eutelsat 117 West B,"3,600 ",GTO,ABS Eutelsat,Success,Failure
27,27,18 July 2016,04:45,F9 FT B1025.1,Cape Canaveral LC-40,SpaceX CRS-9,"2,257 ",LEO (ISS),NASA (CRS),Success,Success(ground pad)
28,28,14 August 2016,05:26,F9 FT B1026.1,Cape Canaveral LC-40,JCSAT-16,"4,600 ",GTO,SKY Perfect JSAT Group,Success,Success(drone ship)
29,29,14 January 2017,17:54,F9 FT B1029.1,VAFB SLC-4E,Iridium NEXT-1,"9,600 ",Polar LEO,Iridium Communications,Success,Success
30,30,19 February 2017,14:39,F9 FT B1031.1,KSC LC-39A,SpaceX CRS-10,"2,490 ",LEO (ISS),NASA (CRS),Success,Success(ground pad)
31,31,16 March 2017,06:00,F9 FT B1030.1,KSC LC-39A,EchoStar 23,"5,600 ",GTO,EchoStar,Success,No attempt
32,32,30 March 2017,22:27,F9 FT B1021.2,KSC LC-39A,SES-10,"5,300 ",GTO,SES,Success,Success(drone ship)
33,33,1 May 2017,11:15,F9 FT B1032.1,KSC LC-39A,NROL-76,Classified,LEO,NRO,Success,Success(ground pad)
34,34,15 May 2017,23:21,F9 FT B1034.1,KSC LC-39A,Inmarsat-5 F4,"6,070 ",GTO,Inmarsat,Success,No attempt
35,35,3 June 2017,21:07,F9 FT B1035.1,KSC LC-39A,SpaceX CRS-11,"2,708 ",LEO (ISS),NASA (CRS),Success,Success(ground pad)
36,36,23 June 2017,19:10,F9 FT  B1029.2,KSC LC-39A,BulgariaSat-1,"3,669 ",GTO,Bulsatcom,Success,Success(drone ship)
37,37,25 June 2017,20:25,F9 FT B1036.1,VAFB SLC-4E,Iridium NEXT-2,"9,600 ",LEO,Iridium Communications,Success,Success(drone ship)
38,38,5 July 2017,23:38,F9 FT B1037.1,KSC LC-39A,Intelsat 35e,"6,761 ",GTO,Intelsat,Success,No attempt
39,39,14 August 2017,16:31,F9 B4 B1039.1,KSC LC-39A,SpaceX CRS-12,"3,310 ",LEO (ISS),NASA (CRS),Success,Success(ground pad)
40,40,24 August 2017,18:51,F9 FT B1038.1,VAFB SLC-4E,Formosat-5,475 ,SSO,NSPO,Success,Success(drone ship)
41,41,7 September 2017,14:00,F9 B4 B1040.1,KSC LC-39A,Boeing X-37B OTV-5,"4,990 ",LEO,USAF,Success,Success(ground pad)
42,42,9 October 2017,12:37,F9 B4 B1041.1,VAFB SLC-4E,Iridium NEXT-3,"9,600 ",Polar LEO,Iridium Communications,Success,Success(drone ship)
43,43,11 October 2017,22:53:00,F9 FT  B1031.2,KSC LC-39A,SES-11 / EchoStar 105,"5,400 ",GTO,SES S.A. EchoStar,Success,Success(drone ship)
